cidade,long,lat,alt,uf
MALHADA,-43.77162032,-14.34038328,440.889634,BAHIA
CARINHANHA,-43.7617772,-14.3020069,446.452146,BAHIA
IUIÚ,-43.55640262,-14.41214604,506.290074,BAHIA
SEBASTIÃO LARANJEIRAS,-42.94411315,-14.57482239,536.326547,BAHIA
CANDIBA,-42.86440234,-14.4131865,588.23558,BAHIA
LAJEDÃO,-40.34584653,-17.61213094,285.595271,BAHIA
MEDEIROS NETO,-40.22017421,-17.37040948,145.363407,BAHIA
ITANHÉM,-40.32704865,-17.1663329,201.859933,BAHIA
JUCURUÇU,-40.15881263,-16.84451615,217.917471,BAHIA
MORTUGABA,-42.38044892,-15.01640729,846.807986,BAHIA
URANDI,-42.65899881,-14.76324218,665.873509,BAHIA
JACARACI,-42.43060877,-14.84919057,860.175795,BAHIA
LICÍNIO DE ALMEIDA,-42.50268364,-14.67586608,883.244803,BAHIA
PINDAÍ,-42.68703332,-14.48998754,605.277286,BAHIA
CACULÉ,-42.2214141,-14.5042062,589.345762,BAHIA
IBIASSUCÊ,-42.25577435,-14.27670253,632.460892,BAHIA
RIO DO ANTÔNIO,-42.07505534,-14.40850965,526.392929,BAHIA
CORDEIROS,-41.93573391,-15.03723411,714.729949,BAHIA
CONDEÚBA,-41.97080954,-14.89041036,646.549534,BAHIA
PIRIPÁ,-41.72486583,-14.94687091,651.457623,BAHIA
GUAJERU,-41.93714817,-14.54696227,622.677226,BAHIA
MALHADA DE PEDRAS,-41.87869834,-14.3779454,509.022734,BAHIA
PRESIDENTE JÂNIO QUADROS,-41.68244263,-14.68539537,697.093729,BAHIA
MAETINGA,-41.4836567,-14.66126636,592.5319,BAHIA
ARACATU,-41.46168532,-14.42663024,737.282011,BAHIA
CÂNDIDO SALES,-41.24111759,-15.50606635,668.960695,BAHIA
ENCRUZILHADA,-40.90912075,-15.53458018,641.359661,BAHIA
MACARANI,-40.42204411,-15.56731615,311.471359,BAHIA
MAIQUINIQUE,-40.26051512,-15.6197717,323.501039,BAHIA
BELO CAMPO,-41.26003348,-15.0334962,846.984105,BAHIA
TREMEDAL,-41.40957632,-14.97247177,495.524981,BAHIA
CARAÍBAS,-41.26543132,-14.72206949,446.007294,BAHIA
ANAGÉ,-41.12711317,-14.61132559,390.04906,BAHIA
VITÓRIA DA CONQUISTA,-40.83980954,-14.84800481,929.23115,BAHIA
CAETANOS,-40.90928964,-14.33856297,421.699938,BAHIA
RIBEIRÃO DO LARGO,-40.74385976,-15.46405963,666.159142,BAHIA
ITAMBÉ,-40.62404172,-15.24801919,360.376706,BAHIA
ITAPETINGA,-40.24738091,-15.24616719,284.45834,BAHIA
CAATIBA,-40.41027248,-14.97855063,339.937543,BAHIA
BARRA DO CHOÇA,-40.57637299,-14.86427304,874.568162,BAHIA
PLANALTO,-40.48464038,-14.67016997,935.619415,BAHIA
BOM JESUS DA SERRA,-40.50117633,-14.37292229,642.00043,BAHIA
NOVA CANAÃ,-40.14517465,-14.79359809,433.714636,BAHIA
POÇÕES,-40.36512729,-14.52232454,765.381511,BAHIA
BOA NOVA,-40.20052189,-14.36260794,693.012825,BAHIA
MUCURI,-39.54754589,-18.08853974,5.587805,BAHIA
IBIRAPUÃ,-40.10630941,-17.68419714,145.182767,BAHIA
TEIXEIRA DE FREITAS,-39.74451769,-17.53774988,116.838704,BAHIA
VEREDA,-40.08448493,-17.22393406,142.121853,BAHIA
ITAMARAJU,-39.53303988,-17.0423376,63.656245,BAHIA
NOVA VIÇOSA,-39.37201154,-17.89339178,6.046303,BAHIA
CARAVELAS,-39.25338222,-17.73337053,6.00266,BAHIA
ALCOBAÇA,-39.19421432,-17.51893334,6.398941,BAHIA
PRADO,-39.22923842,-17.32956399,7.875939,BAHIA
GUARATINGA,-39.78128447,-16.58121604,171.196137,BAHIA
ITABELA,-39.55323778,-16.57583606,156.007462,BAHIA
EUNÁPOLIS,-39.58417194,-16.37516723,189.786628,BAHIA
ITAGIMIRIM,-39.61519181,-16.08814328,180.784821,BAHIA
ITARANTIM,-40.06154527,-15.65783004,251.402801,BAHIA
POTIRAGUÁ,-39.87566007,-15.59245631,176.981723,BAHIA
ITAPEBI,-39.52854139,-15.97216665,190.899544,BAHIA
PORTO SEGURO,-39.06211352,-16.44905618,4.196201,BAHIA
SANTA CRUZ CABRÁLIA,-39.01318258,-16.33809658,6.716162,BAHIA
MASCOTE,-39.30240045,-15.56598803,33.751888,BAHIA
BELMONTE,-38.88030324,-15.86139649,5.311584,BAHIA
CANAVIEIRAS,-38.94737587,-15.67977748,7.921183,BAHIA
ITORORÓ,-40.07170334,-15.11903731,256.384871,BAHIA
FIRMINO ALVES,-39.92144176,-14.98493537,305.265259,BAHIA
PAU BRASIL,-39.64878204,-15.46361882,192.919653,BAHIA
CAMACAN,-39.49636733,-15.41762685,161.844972,BAHIA
JUSSARI,-39.49493987,-15.1904563,185.184435,BAHIA
ITAJU DO COLÔNIA,-39.72472461,-15.14019355,162.620868,BAHIA
SANTA CRUZ DA VITÓRIA,-39.81183597,-14.96007831,238.498501,BAHIA
IGUAÍ,-40.09751345,-14.75796253,442.606953,BAHIA
IBICUÍ,-39.98983211,-14.84309036,358.99257,BAHIA
DÁRIO MEIRA,-39.90246565,-14.43504744,180.840238,BAHIA
ITAGIBÁ,-39.84851556,-14.28651417,175.2987,BAHIA
FLORESTA AZUL,-39.65652359,-14.8627984,191.586264,BAHIA
IBICARAÍ,-39.5915412,-14.86576314,166.025959,BAHIA
ALMADINA,-39.63590318,-14.70604775,290.725503,BAHIA
COARACI,-39.55230426,-14.6368142,203.233977,BAHIA
ITAPITANGA,-39.56636188,-14.42119474,137.395011,BAHIA
SANTA LUZIA,-39.33249343,-15.43278798,113.064948,BAHIA
ARATACA,-39.41328157,-15.260873,158.917844,BAHIA
SÃO JOSÉ DA VITÓRIA,-39.3389205,-15.07817821,151.090465,BAHIA
ITAPÉ,-39.42996273,-14.89480796,101.347385,BAHIA
BUERAREMA,-39.30251961,-14.95644084,115.229004,BAHIA
UNA,-39.07471289,-15.29420806,10.196629,BAHIA
